Age,Gender,Condition,Experiment ID
26,Female,1,sarah4
23,Female,2,Nash- Dec 11 16:30- Robot- Female
22,Male,2,Nash- Dec 11 17:30- Robot- Male
49,Female,1,Nash5
30,Male,2,Masha12
25,Female,2,Sarah5
23,Female,1,Masha11
24,Female,1,Sarah9
30,Female,1,Nash9
27,Female,2,Nash1
22,Male,1,Nash3
22,Male,1,Nash2
26,Male,1,Dekel-6
66,Male,1,Nash8
35,Male,1,Nash6
27,Male,2,dekel-5
24,Female,1,dekel-8
25,Female,1,Nash10
22,Female,2,Dekel-2 Furhat
23,Female,2,Nash7
26,Male,2,Dekel/3
24,Male,1,Masha10
60,Male,2,Sarah-2
24,Female,1,Masha8
25,Male,2,Sarah7
26,Male,1,Nash-Dec 10 12:30- Human- Male
23,Male,2,Masha5
27,Female,2,Sarah - 507 Furhat
24,Female,1,Sarah6
30,Male,1,Dekel-7
23,Male,2,Sarah12
24,Male,2,sarah10
23,Female,2,Masha2
24,Female,2,Masha4
26,Male,2,Sarah11
24,Female,2,Sarah8
54,Male,1,Nash4
24,Female,1,Masha3
24,Female,1,sarah13
52,Female,2,Masha9
24,Male,2,Masha13
22,Female,2,Masha14
29,Male,2,masha7
